exchange,coin,n_records,start_date,end_date,mean_fr,std_fr,ann_fr_pct,ann_vol_pct,skewness,kurtosis,pct_positive,max_fr,min_fr,autocorr_1h,autocorr_8h,autocorr_24h
Hyperliquid,BTC,24350,2023-05-12,2026-03-15,1.8183127934291584e-05,3.0254377843309523e-05,15.928420070439428,0.28316546112276947,0.4999985439490296,74.88400020918837,88.69404517453799,0.0005980828,-0.0008179771,0.8793249123461634,0.6298907020230894,0.5138984519446878
Hyperliquid,ETH,7500,2023-05-12,2024-04-12,2.9913396786666667e-05,4.757260259194656e-05,26.204135585120003,0.4452551633858098,-1.5457213438899826,53.183889882780775,90.65333333333334,0.0007230584,-0.0007369307,0.8661382144034465,0.4734826882211667,0.3386509171979329
Hyperliquid,SOL,1000,2023-05-12,2023-07-16,-3.910265400000001e-06,9.013642599423052e-05,-3.425392490400001,0.8436307222314593,-1.7684175969870228,15.908123967966802,54.7,0.0003894362,-0.0008724275,0.8694935747139003,0.5234700709107247,0.38182837518582297
Hyperliquid,XRP,3500,2023-06-18,2023-11-10,-1.1441653428571428e-05,3.6803110008834114e-05,-10.02288840342857,0.34445823577588836,1.2590617331792742,8.719965527003406,36.31428571428572,0.0003048704,-0.000256497,0.9021448776821979,0.7505617976217808,0.6340015572448598
Hyperliquid,DOGE,1000,2023-05-12,2023-07-16,-5.73519228e-05,6.426572551302845e-05,-50.240284372800005,0.6014942331167559,-3.0283072492061733,21.18889703781434,8.4,0.0001162049,-0.0006835709,0.8117057906768054,0.32566713965116395,0.1183803086100034
Hyperliquid,AVAX,3000,2023-05-12,2023-10-07,-3.6917647466666665e-05,5.6954800892544636e-05,-32.339859180800005,0.5330677279638524,-2.3577381148054073,12.435965272964967,21.3,0.0001652772,-0.0005180578,0.8830499035389457,0.5914414601244645,0.44080033133886876
OKX,BTC,285,2025-12-10,2026-03-15,3.065926872558281e-05,4.182130250750985e-05,3.357189925451318,0.13838996968891898,-0.44251954841613206,-0.4035708023141025,75.78947368421053,0.0001,-9.15586192191e-05,,0.21902285419692874,0.03950260221700106
OKX,ETH,285,2025-12-10,2026-03-15,1.271854169833544e-05,5.081691723161892e-05,1.3926803159677306,0.16815716426108948,-0.7759312075876861,1.478519308155212,61.05263157894737,0.0001,-0.0002221949949917,,0.30489938228066976,0.15325944836137645
OKX,SOL,285,2025-12-10,2026-03-15,-2.1149438882073682e-05,0.00010161452701453216,-2.3158635575870683,0.33625043866029175,-1.904388803366016,6.351521419522417,44.56140350877193,0.0001,-0.0005631656394551,,0.49421660172274967,0.1912090014287193
OKX,XRP,285,2025-12-10,2026-03-15,-7.6099515948256135e-06,8.145732734662046e-05,-0.8332896996334047,0.2695486842002323,-0.9114576057950011,1.715633062372012,50.175438596491226,0.0001,-0.0004289053644806,,0.4361499776277953,0.15209834156992158
OKX,DOGE,285,2025-12-10,2026-03-15,1.6473565465645966e-05,6.540538719963337e-05,1.8038554184882334,0.2164315554357472,-0.790860798102253,0.9883673494963108,61.75438596491228,0.0001,-0.0002426489025216,,0.45058557343524797,0.2263058283850231
OKX,ADA,285,2025-12-10,2026-03-15,1.1092713038746316e-05,8.64036711175097e-05,1.2146520777427217,0.28591652363807424,-0.7574201835845331,-0.20818539350128917,60.0,0.0001,-0.0002841244370614,,0.2897505922635997,0.13400673217109615
OKX,AVAX,285,2025-12-10,2026-03-15,-6.654039611925263e-06,9.599869945914311e-05,-0.7286173375058164,0.3176672248775806,-0.8030132191559856,0.2674019194516415,55.08771929824562,0.0001,-0.0003874906230602,,0.35311580220516925,0.11086604451355402
OKX,LINK,285,2025-12-10,2026-03-15,2.1703469938584214e-05,6.856149528779452e-05,2.3765299582749715,0.22687536460637603,-0.5458851184601321,-0.608357693952422,64.56140350877193,0.0001,-0.0001755308938758,,0.23255117663099492,-0.002342023432927352
OKX,DOT,285,2025-12-10,2026-03-15,-3.546895454334913e-05,0.00017937307452002565,-3.8838505224967297,0.5935595703021687,-3.597140271200992,21.667251192606614,51.578947368421055,0.0001,-0.0015292981729219,,0.5367251223711882,0.16874022461604446
OKX,LTC,285,2025-12-10,2026-03-15,2.6182040919981055e-05,6.247042374161072e-05,2.8669334807379254,0.20671953118875241,-0.5145356718011579,-0.5955189970231043,66.3157894736842,0.0001,-0.0001480615043475,,0.27679176596872174,0.14058008925320395
OKX,BCH,285,2025-12-10,2026-03-15,-5.461753368608597e-05,0.00011461069228573078,-5.980619938626414,0.3792557687221757,-1.4588057922531863,3.628767056767651,34.385964912280706,0.0001,-0.0006641425789648,,0.3786043020574743,0.05798453263698669
OKX,NEAR,285,2025-12-10,2026-03-15,-1.3874190925284203e-06,0.00012966828261446448,-0.151922390631862,0.4290825159596016,-1.2833466840123882,0.9416571531649858,61.40350877192983,0.0001,-0.0004711654190284,,0.16799996834486267,0.0050335744895811906
OKX,SUI,285,2025-12-10,2026-03-15,3.197536819336807e-05,5.772375635678564e-05,3.5013028171738036,0.19101243657132952,-0.5880530148370476,-0.34516955746433453,70.87719298245614,0.0001,-0.0001390161305837,,0.23272401513362181,0.04946651434343188
OKX,UNI,285,2025-12-10,2026-03-15,2.2317724884032634e-05,7.058470248497034e-05,2.4437908748015733,0.23357031588488505,-0.7421977043717165,-0.07271806429617378,63.859649122807014,0.0001,-0.0002228349829871,,0.25290795168119673,0.09600156228066989
OKX,AAVE,285,2025-12-10,2026-03-15,1.9466708932800003e-05,5.698753116094276e-05,2.1316046281416003,0.18857620966236086,-0.8762461445907175,1.0577578496869542,69.82456140350877,0.0001,-0.0001983562994964,,0.2975788619021113,0.03403056469842374
OKX,BNB,285,2025-12-10,2026-03-15,2.721211804224246e-05,7.070951723915849e-05,2.979726925625549,0.2339833376946607,-0.6143938047775213,-0.7686933503394977,67.36842105263158,0.0001,-0.0001595803620159,,0.43986541227565135,0.1273879408369544
